Medal,Number_of_Medals,region,Year,Sport
Bronze,3,Russia,1996,Fencing
Bronze,2,USA,2010,Freestyle Skiing
Silver,14,France,1948,Basketball
Bronze,19,Germany,1964,Football
Silver,12,Italy,2004,Basketball
Gold,11,Serbia,2000,Volleyball
Silver,1,France,2004,Taekwondo
Gold,2,Italy,2002,Cross Country Skiing
Silver,12,Italy,1996,Volleyball
Gold,2,Australia,1956,Cycling
Silver,2,Ukraine,2000,Wrestling
Gold,24,USA,2008,Basketball
Bronze,41,Finland,2010,Ice Hockey
Bronze,5,UK,1956,Sailing
Bronze,12,Germany,1968,Gymnastics
Bronze,3,Russia,2016,Boxing
Silver,12,Serbia,1996,Basketball
Bronze,4,Sweden,1924,Cycling
Bronze,8,Germany,1988,Rowing
Silver,4,Netherlands,1998,Speed Skating
Silver,1,Peru,1984,Shooting
Silver,1,France,1920,Art Competitions
Bronze,12,Serbia,2016,Basketball
Silver,1,Italy,1972,Diving
Bronze,12,Argentina,1988,Volleyball
Gold,1,Jordan,2016,Taekwondo
Bronze,10,UK,1924,Ice Hockey
Silver,11,Italy,1964,Cycling
Gold,24,USA,2012,Basketball
Silver,15,Netherlands,2000,Rowing
Bronze,2,Turkey,2004,Weightlifting
Silver,3,Germany,2010,Speed Skating
Silver,1,Germany,1908,Diving
Bronze,6,France,1948,Cycling
Silver,11,USA,1972,Athletics
Silver,2,Denmark,2012,Badminton
Gold,2,USA,1956,Boxing
Bronze,7,Poland,1932,Rowing
Bronze,16,Australia,2000,Hockey
Gold,16,Australia,2004,Hockey
Bronze,3,Germany,2008,Shooting
Bronze,1,Italy,1956,Wrestling
Bronze,1,France,1912,Equestrianism
Silver,15,Sweden,2000,Handball
Silver,2,Cuba,2008,Athletics
Silver,1,Hungary,1936,Shooting
Gold,1,Germany,1908,Swimming
Silver,1,Brazil,1996,Swimming
Silver,5,Norway,1936,Cross Country Skiing
Silver,1,Norway,2008,Shooting
Bronze,8,USA,1992,Gymnastics
Bronze,10,Germany,1984,Athletics
Silver,11,USA,1904,Golf
Bronze,4,USA,1996,Rowing
Silver,25,Norway,1920,Gymnastics
Gold,9,France,2012,Swimming
Gold,9,Japan,1960,Gymnastics
Gold,17,Uruguay,1928,Football
Gold,8,Italy,1924,Fencing
Silver,24,Russia,2000,Volleyball
Bronze,7,USA,2008,Gymnastics
Silver,17,Germany,2016,Football
Silver,1,South Africa,1960,Boxing
Silver,5,Norway,2010,Cross Country Skiing
Silver,5,Switzerland,1952,Rowing
Bronze,1,Bulgaria,1976,Athletics
Gold,1,UK,1992,Cycling
Silver,5,Australia,2012,Cycling
Gold,5,Jamaica,2008,Athletics
Silver,3,Sweden,1928,Equestrianism
Gold,24,South Korea,2008,Baseball
Gold,5,Russia,1964,Athletics
Silver,12,UK,1948,Hockey
Silver,11,Italy,1976,Water Polo
Bronze,5,South Korea,1988,Wrestling
Gold,4,Argentina,1936,Polo
Bronze,11,Russia,2000,Athletics
Bronze,22,Germany,1992,Rowing
Gold,2,Greece,2004,Sailing
Gold,17,Norway,2000,Football
Silver,11,UK,2016,Rowing
Gold,1,Serbia,1968,Swimming
Bronze,6,France,1948,Canoeing
Bronze,5,USA,1920,Fencing
Bronze,5,USA,2016,Equestrianism
Bronze,1,UK,1968,Equestrianism
Bronze,1,Colombia,2004,Cycling
Silver,8,France,1900,Athletics
Silver,1,Serbia,2008,Swimming
Gold,1,Uzbekistan,2000,Boxing
Gold,16,Netherlands,2012,Hockey
Silver,10,USA,1936,Athletics
Bronze,1,Mexico,2012,Archery
Gold,2,France,2016,Rowing
Bronze,3,Denmark,1988,Sailing
Bronze,9,Mexico,1980,Equestrianism
Silver,12,Australia,2008,Basketball
Gold,4,Canada,1984,Swimming
Silver,1,Germany,1980,Speed Skating
Gold,7,Canada,1928,Athletics
Bronze,3,Canada,2016,Diving
Gold,8,Hungary,1936,Fencing
Gold,13,Russia,1980,Handball
Silver,5,Denmark,1960,Sailing
Gold,2,Greece,2004,Diving
Silver,2,Norway,2010,Biathlon
Silver,11,Belgium,1924,Water Polo
Bronze,1,Poland,1960,Weightlifting
Bronze,1,France,2008,Gymnastics
Gold,14,Norway,2008,Handball
Gold,6,Belarus,2008,Canoeing
Silver,4,Russia,1972,Wrestling
Bronze,4,Finland,1928,Athletics
Silver,2,Belarus,2004,Boxing
Silver,4,Germany,2012,Cycling
Bronze,1,Sweden,1952,Speed Skating
Silver,19,USA,1976,Swimming
Gold,3,Denmark,1976,Sailing
Bronze,3,France,2016,Athletics
Bronze,1,Australia,1920,Swimming
Bronze,2,Australia,1924,Swimming
Silver,8,Germany,1988,Gymnastics
Silver,4,Austria,1992,Equestrianism
Silver,1,Czech Republic,1956,Gymnastics
Gold,1,Norway,1956,Cross Country Skiing
Gold,6,Australia,1980,Swimming
Gold,15,UK,2012,Cycling
Gold,2,USA,2012,Wrestling
Bronze,4,France,1920,Tennis
Silver,21,Russia,1976,Rowing
Gold,3,Spain,1928,Equestrianism
Bronze,4,Russia,2006,Cross Country Skiing
Silver,16,Spain,1980,Hockey
Silver,7,USA,1904,Cycling
Silver,1,Russia,1952,Shooting
Bronze,9,USA,1924,Water Polo
Gold,5,Cuba,2004,Boxing
Gold,2,UK,1936,Rowing
Bronze,2,Italy,1948,Art Competitions
Bronze,14,Norway,1936,Football
Silver,2,Germany,1952,Alpine Skiing
Silver,8,UK,1908,Tug-Of-War
Silver,1,Turkey,1972,Wrestling
Silver,2,South Korea,2016,Judo
Bronze,10,Serbia,1928,Gymnastics
Gold,2,France,1908,Cycling
Silver,5,Russia,2012,Weightlifting
Gold,6,Nigeria,2000,Athletics
Bronze,2,Turkey,1984,Boxing
Silver,17,Hungary,1972,Football
Gold,18,USA,1924,Athletics
Gold,4,UK,1920,Polo
Bronze,2,Australia,1996,Sailing
Bronze,9,USA,1988,Swimming
Gold,5,Norway,1998,Nordic Combined
Gold,4,USA,1952,Diving
Bronze,1,Mexico,1956,Diving
Gold,4,Italy,1994,Short Track Speed Skating
Bronze,1,Italy,1936,Modern Pentathlon
Bronze,17,Switzerland,1920,Shooting
Silver,7,Finland,1924,Wrestling
Gold,27,USA,2016,Athletics
Bronze,1,Russia,2012,Weightlifting
Bronze,11,Germany,1900,Rowing
Bronze,1,Russia,2014,Short Track Speed Skating
Silver,14,Russia,2008,Handball
Silver,2,Cuba,2004,Boxing
Gold,8,France,1924,Cycling
Silver,2,UK,1968,Athletics
Gold,16,France,1980,Fencing
Silver,3,Norway,1920,Figure Skating
Bronze,1,France,1908,Archery
Silver,10,Russia,2008,Athletics
Silver,1,Saudi Arabia,2000,Athletics
Silver,16,Spain,1996,Hockey
Silver,1,Poland,1952,Boxing
Gold,9,Norway,1968,Cross Country Skiing
Gold,1,Hungary,1972,Modern Pentathlon
Silver,1,Norway,1932,Ski Jumping
Gold,7,Russia,2004,Rhythmic Gymnastics
Bronze,2,France,1988,Canoeing
Silver,22,Finland,1988,Ice Hockey
Bronze,2,Brazil,1996,Swimming
Bronze,8,Belgium,1920,Tug-Of-War
Gold,1,Poland,2014,Speed Skating
Gold,1,Italy,2004,Gymnastics
Bronze,1,UK,1948,Figure Skating
Bronze,22,Sweden,1988,Ice Hockey
Silver,3,Germany,1956,Rowing
Bronze,10,Germany,1980,Athletics
Silver,24,Romania,1992,Rowing
Silver,1,Hungary,1976,Wrestling
Bronze,4,France,1968,Athletics
Silver,35,Russia,1980,Rowing
Silver,2,Turkey,1992,Wrestling
Bronze,8,USA,1928,Athletics
Gold,1,Hungary,1900,Athletics
Gold,1,France,1928,Cycling
Silver,6,Germany,1992,Biathlon
Silver,5,Italy,1908,Fencing
Silver,7,Austria,1912,Fencing
Bronze,3,Russia,1960,Shooting
Silver,2,Canada,2008,Trampolining
Gold,3,UK,1924,Athletics
Gold,2,Switzerland,1994,Bobsleigh
Bronze,4,UK,2014,Curling
Gold,11,Russia,1980,Water Polo
Silver,12,Russia,1964,Basketball
Bronze,10,Romania,1996,Gymnastics
Gold,5,Germany,1980,Cross Country Skiing
Silver,3,Norway,1992,Nordic Combined
Bronze,7,UK,1984,Swimming
Bronze,4,UK,1908,Racquets
Gold,7,Italy,1956,Cycling
Silver,15,UK,1900,Rugby
Silver,24,Cuba,2008,Baseball
Gold,2,Russia,1968,Figure Skating
Bronze,2,Italy,1996,Shooting
Silver,3,Germany,2004,Fencing
Silver,5,Norway,1906,Shooting
Gold,1,UK,1968,Shooting
Gold,7,USA,1904,Water Polo
Silver,1,Canada,2000,Canoeing
Silver,9,USA,1924,Ice Hockey
Silver,4,Italy,2008,Rowing
Gold,1,Turkey,2016,Wrestling
Silver,12,UK,1908,Hockey
Silver,14,Serbia,1980,Handball
Bronze,12,Romania,1988,Rowing
Gold,14,UK,2016,Cycling
Gold,3,Denmark,1992,Sailing
Silver,3,Jamaica,1996,Athletics
Bronze,2,UK,1920,Wrestling
Bronze,3,Italy,1964,Boxing
Bronze,1,Ukraine,2008,Rhythmic Gymnastics
Bronze,1,Turkey,2000,Taekwondo
Bronze,1,Australia,2000,Sailing
Bronze,2,Germany,1972,Weightlifting
Silver,2,Germany,1964,Luge
Silver,2,France,1984,Canoeing
Bronze,10,Netherlands,1976,Water Polo
Gold,1,France,1912,Equestrianism
Silver,2,Norway,1994,Alpine Skiing
Gold,3,Russia,2004,Shooting
Silver,18,Denmark,1906,Gymnastics
Silver,3,Norway,1994,Nordic Combined
Gold,16,Argentina,2004,Football
Silver,1,Uzbekistan,1996,Judo
Bronze,9,USA,2016,Athletics
Silver,6,France,1956,Fencing
Silver,1,Australia,1908,Swimming
Bronze,1,Australia,1908,Swimming
Bronze,17,Switzerland,1936,Handball
Silver,1,Trinidad,2000,Athletics
Silver,6,Romania,1992,Gymnastics
Bronze,2,Canada,2004,Canoeing
Silver,3,Italy,1980,Luge
Silver,12,Germany,1980,Volleyball
Bronze,6,UK,1980,Swimming
Bronze,3,Norway,1920,Sailing
Silver,8,Sweden,1924,Curling
Bronze,12,Canada,1904,Lacrosse
Silver,5,Norway,1998,Biathlon
Gold,13,Serbia,1988,Water Polo
Gold,8,Germany,2014,Luge
Silver,7,Canada,1984,Rowing
Bronze,12,USA,1972,Swimming
Silver,3,Hungary,1980,Wrestling
Gold,8,France,1996,Cycling
Gold,2,Norway,1928,Speed Skating
Bronze,2,Russia,1952,Wrestling
Bronze,3,Portugal,1936,Equestrianism
Bronze,4,Canada,1996,Rowing
Bronze,3,Russia,1988,Gymnastics
Bronze,1,Finland,1972,Wrestling
Gold,3,Italy,2000,Canoeing
Gold,1,USA,2012,Diving
Gold,3,France,1996,Judo
Bronze,12,Australia,1996,Basketball
Bronze,1,UK,1900,Water Polo
Bronze,1,Italy,2016,Diving
Bronze,2,Finland,1920,Swimming
Silver,10,Germany,1964,Rowing
Bronze,11,Australia,1956,Rowing
Silver,14,Russia,1980,Handball
Gold,17,Russia,1956,Ice Hockey
Silver,2,USA,1932,Figure Skating
Bronze,4,USA,1968,Boxing
Bronze,2,Russia,2012,Taekwondo
Silver,5,Australia,1924,Swimming
Silver,4,Brazil,2000,Beach Volleyball
Bronze,4,France,1952,Swimming
Silver,10,China,1996,Gymnastics
Bronze,11,Hungary,1968,Water Polo
Gold,2,Denmark,1988,Sailing
Gold,2,UK,1896,Tennis
Bronze,8,Netherlands,1964,Rowing
Gold,5,USA,1904,Wrestling
Silver,1,Australia,2014,Snowboarding
Silver,1,Germany,1976,Wrestling
Silver,1,USA,1992,Boxing
Silver,10,USA,2008,Athletics
Silver,7,Russia,2012,Gymnastics
Gold,23,USA,1912,Athletics
Bronze,3,USA,1964,Figure Skating
Bronze,7,China,2002,Short Track Speed Skating
Silver,26,USA,2008,Water Polo
Gold,14,USA,1936,Basketball
Bronze,2,Ireland,2012,Boxing
Silver,8,Netherlands,1920,Tug-Of-War
Gold,3,Bulgaria,1972,Weightlifting
Silver,12,Serbia,2016,Basketball
Silver,6,USA,1896,Athletics
Gold,17,USA,2012,Football
Bronze,6,Sweden,1912,Athletics
Gold,24,USA,2000,Baseball
Bronze,3,Sweden,1908,Tennis
Silver,10,UK,1984,Athletics
Gold,14,UK,1908,Shooting
Silver,18,Sweden,1920,Shooting
Gold,8,Sweden,1912,Tug-Of-War
Silver,9,Germany,2006,Cross Country Skiing
Silver,9,UK,1948,Rowing
Silver,5,Germany,1992,Fencing
Gold,47,USA,1996,Swimming
Bronze,1,Germany,1908,Athletics
Silver,5,USA,1904,Tug-Of-War
Bronze,4,Germany,1960,Fencing
Gold,2,Germany,2012,Beach Volleyball
Silver,1,Switzerland,2008,Cycling
Gold,1,Italy,1948,Fencing
Gold,5,Russia,1992,Weightlifting
Silver,3,Italy,1992,Rowing
Gold,1,Lithuania,2004,Athletics
Gold,7,Russia,2008,Rhythmic Gymnastics
Gold,2,South Korea,1992,Wrestling
Silver,3,Hungary,1964,Athletics
Gold,5,Denmark,1968,Cycling
Gold,2,France,1900,Cycling
Bronze,11,USA,2000,Swimming
Gold,20,Finland,1924,Athletics
Silver,1,Switzerland,2000,Cycling
Silver,1,Poland,2012,Shooting
Silver,3,Netherlands,1952,Speed Skating
Bronze,4,UK,1952,Cycling
Gold,7,Spain,1992,Sailing
Gold,1,UK,2012,Sailing
Bronze,10,Russia,1980,Swimming
Bronze,16,USA,1984,Hockey
Gold,15,Denmark,2004,Handball
Bronze,2,Brazil,2012,Boxing
Silver,22,Canada,1992,Ice Hockey
Silver,12,New Zealand,2016,Rugby Sevens
Gold,14,UK,1912,Football
Bronze,1,Italy,1956,Boxing
Gold,1,Norway,1998,Alpine Skiing
Bronze,1,France,1920,Cycling
Silver,1,Egypt,2012,Fencing
Bronze,1,Japan,1992,Wrestling
Silver,5,Sweden,1952,Canoeing
Bronze,4,Russia,1960,Rowing
Silver,4,Bulgaria,1980,Weightlifting
Silver,13,Italy,1928,Gymnastics
Bronze,4,France,1920,Athletics
Bronze,4,Canada,1908,Athletics
Silver,20,Jamaica,2000,Athletics
Bronze,14,Spain,2008,Handball
Silver,4,UK,1964,Rowing
Silver,4,USA,1994,Short Track Speed Skating
Gold,17,Hungary,1968,Football
Gold,30,USA,2004,Swimming
Silver,9,Australia,1968,Swimming
Gold,13,Hungary,2008,Water Polo
Silver,5,Switzerland,1936,Rowing
Silver,16,Czech Republic,1980,Hockey
Bronze,14,Germany,1976,Gymnastics
Silver,1,Spain,2004,Canoeing
Silver,12,Sweden,1928,Ice Hockey
Bronze,18,Nigeria,2016,Football
Bronze,5,Germany,1984,Cycling
Silver,6,Germany,1932,Rowing
Silver,1,UK,1988,Shooting
Silver,11,Netherlands,1952,Hockey
Bronze,12,Switzerland,1928,Ice Hockey
Gold,2,Belarus,2012,Tennis
Silver,4,Russia,1964,Boxing
Silver,1,Qatar,2016,Athletics
Bronze,4,USA,1960,Modern Pentathlon
Silver,2,New Zealand,2016,Rowing
Bronze,13,Russia,2016,Water Polo
Gold,1,Norway,1952,Ski Jumping
Gold,1,Italy,2004,Cycling
Gold,8,USA,2016,Gymnastics
Bronze,2,Hungary,1932,Fencing
Gold,3,France,1964,Alpine Skiing
Bronze,2,Netherlands,1924,Tennis
Bronze,3,France,2010,Biathlon
Bronze,6,France,1936,Fencing
Gold,2,Indonesia,1992,Badminton
Silver,10,Spain,2008,Synchronized Swimming
Bronze,13,Canada,2016,Swimming
Bronze,20,Sweden,1984,Ice Hockey
Bronze,1,Kuwait,2012,Shooting
Gold,6,Italy,1994,Cross Country Skiing
Bronze,8,Nigeria,2004,Athletics
Bronze,4,USA,1920,Polo
Gold,5,Italy,1964,Equestrianism
Gold,42,Canada,2002,Ice Hockey
Gold,24,USA,1996,Basketball
Silver,14,Montenegro,2012,Handball
Bronze,2,Italy,1992,Swimming
Bronze,2,France,2012,Tennis
Silver,2,Norway,1988,Sailing
Gold,2,France,1984,Fencing
Bronze,3,Germany,1968,Sailing
Silver,15,Canada,1996,Rowing
Gold,12,USA,1988,Basketball
Gold,4,Sweden,1936,Wrestling
Bronze,17,Australia,2008,Hockey
Silver,16,Pakistan,1964,Hockey
Gold,44,Canada,2014,Ice Hockey
Silver,15,Pakistan,1972,Hockey
Bronze,3,Italy,1968,Sailing
Gold,2,Turkey,1968,Wrestling
Silver,12,USA,1972,Basketball
Bronze,12,Bulgaria,1976,Basketball
Silver,3,Germany,1972,Sailing
Bronze,1,Trinidad,2004,Swimming
Gold,4,Australia,2008,Rowing
Bronze,6,Sweden,1948,Fencing
Silver,18,USA,2000,Swimming
Gold,1,Italy,2002,Alpine Skiing
Gold,3,Denmark,1900,Tug-Of-War
Bronze,4,Switzerland,2002,Cross Country Skiing
Silver,16,Spain,2008,Hockey
Bronze,3,Norway,2006,Biathlon
Gold,8,Germany,1998,Biathlon
Bronze,1,UK,1900,Rowing
Silver,15,Argentina,2012,Hockey
Gold,2,Belgium,1948,Figure Skating
Silver,5,Australia,1920,Swimming
Silver,7,Germany,1968,Athletics
Gold,6,Norway,2014,Biathlon
Bronze,4,Switzerland,1936,Rowing
Bronze,2,Norway,2010,Cross Country Skiing
Silver,1,Austria,1924,Figure Skating
Silver,17,Czech Republic,1948,Ice Hockey
Bronze,9,Germany,1976,Swimming
Bronze,5,Romania,2012,Gymnastics
Bronze,1,Canada,2006,Figure Skating
Silver,1,Denmark,1906,Wrestling
Bronze,4,Poland,1980,Boxing
Silver,13,Italy,2012,Water Polo
Silver,1,Egypt,2004,Boxing
Gold,13,Italy,1956,Fencing
Gold,15,Russia,1960,Gymnastics
Bronze,1,Romania,1992,Shooting
Silver,5,Russia,1960,Rowing
Silver,2,France,1906,Cycling
Gold,5,Russia,2004,Wrestling
Gold,12,Russia,1976,Basketball
Silver,4,USA,1924,Diving
Silver,10,USA,1984,Gymnastics
Bronze,1,Australia,2000,Canoeing
Silver,20,Canada,1998,Ice Hockey
Silver,2,France,2014,Freestyle Skiing
Bronze,12,Italy,2000,Volleyball
Gold,11,Russia,1964,Volleyball
Bronze,12,Uruguay,1952,Basketball
Silver,4,New Zealand,2016,Sailing
Gold,8,France,1908,Fencing
Gold,8,Germany,1928,Water Polo
Gold,2,Switzerland,2002,Ski Jumping
Bronze,3,France,1998,Figure Skating
Gold,12,USA,1976,Basketball
Silver,3,Cuba,2000,Canoeing
Bronze,9,Romania,2008,Rowing
Gold,1,USA,1988,Archery
Gold,1,Germany,1988,Gymnastics
Bronze,6,Australia,2008,Canoeing
Silver,8,Australia,1984,Swimming
Gold,2,Norway,1998,Biathlon
Bronze,11,Mexico,1936,Basketball
Silver,5,Germany,1964,Athletics
Silver,14,Russia,1952,Basketball
Silver,15,USA,2008,Softball
Bronze,20,Sweden,2002,Ice Hockey
Gold,8,Norway,2002,Cross Country Skiing
Bronze,12,Russia,1976,Rowing
Gold,21,Sweden,1912,Shooting
Bronze,3,Sweden,1912,Sailing
Bronze,1,Belarus,1998,Biathlon
Bronze,7,Hungary,1968,Fencing
Silver,1,Bulgaria,2000,Wrestling
Bronze,3,Germany,1996,Canoeing
Bronze,15,Romania,1984,Handball
Bronze,1,France,1920,Weightlifting
Silver,4,Norway,1988,Rowing
Bronze,1,Tunisia,2016,Fencing
Gold,8,New Zealand,1984,Canoeing
Gold,2,Germany,1980,Gymnastics
Bronze,1,Norway,2006,Snowboarding
Silver,16,Brazil,1988,Football
Gold,5,Russia,1980,Biathlon
Silver,17,Jamaica,2016,Athletics
Silver,4,Russia,1976,Athletics
Silver,5,Italy,2002,Short Track Speed Skating
Silver,5,Russia,2014,Luge
Silver,10,Sweden,1908,Shooting
Silver,1,Canada,1994,Speed Skating
Bronze,5,Canada,1928,Athletics
Bronze,2,Switzerland,1948,Wrestling
Bronze,13,Australia,2012,Water Polo
Bronze,1,Ukraine,2004,Rhythmic Gymnastics
Silver,21,USA,2008,Swimming
Silver,2,South Africa,2016,Rowing
Silver,12,USA,1976,Basketball
Bronze,16,Australia,2012,Hockey
Silver,1,Italy,1952,Boxing
Gold,14,South Korea,2006,Short Track Speed Skating
Gold,28,Italy,1920,Gymnastics
Silver,3,Poland,1928,Equestrianism
Bronze,2,UK,2000,Badminton
Silver,6,Hungary,1956,Fencing
Silver,4,Sweden,2004,Equestrianism
Bronze,2,France,2016,Boxing
Silver,3,USA,1904,Tennis
Bronze,5,Germany,1976,Sailing
Silver,5,France,1956,Cycling
Silver,4,Poland,1980,Equestrianism
Bronze,1,Tajikistan,2008,Judo
Silver,5,Russia,1956,Canoeing
Gold,4,Bahamas,2012,Athletics
Gold,18,Argentina,2016,Hockey
Silver,4,Switzerland,1936,Cycling
Gold,6,Kenya,2008,Athletics
Silver,1,Italy,1976,Diving
Silver,2,Germany,1906,Fencing
Silver,9,Canada,1936,Basketball
Silver,7,Belgium,1920,Fencing
Silver,1,USA,1988,Judo
Bronze,5,Norway,1972,Cross Country Skiing
Silver,19,Czech Republic,1976,Ice Hockey
Silver,9,Canada,1904,Rowing
Bronze,5,Germany,1992,Equestrianism
Silver,4,UK,2000,Rowing
Bronze,12,USA,2004,Water Polo
Gold,12,Sweden,1912,Cycling
Silver,1,Curacao,1988,Sailing
Silver,5,Germany,1932,Athletics
Gold,11,Germany,1992,Rowing
Bronze,4,Germany,1936,Wrestling
Bronze,6,Poland,1992,Rowing
Silver,1,UK,2016,Triathlon
Gold,2,Mexico,1984,Athletics
Bronze,2,Brazil,1984,Judo
Bronze,1,Italy,1928,Boxing
Gold,5,Russia,2006,Biathlon
Gold,24,USA,1984,Basketball
Gold,5,Australia,1972,Sailing
Silver,15,Serbia,1948,Football
Gold,3,Italy,1968,Rowing
Gold,15,UK,2016,Rowing
Gold,6,Italy,1936,Sailing
Gold,14,USA,1932,Sailing
Silver,12,Bulgaria,1980,Basketball
Bronze,8,France,1924,Athletics
Silver,2,Germany,1980,Sailing
Bronze,1,USA,1964,Judo
Gold,5,Germany,2016,Equestrianism
Gold,4,Russia,1984,Biathlon
Bronze,4,Russia,1968,Cross Country Skiing
Silver,11,Russia,1960,Water Polo
Silver,6,France,2012,Swimming
Gold,16,Pakistan,1984,Hockey
Bronze,4,Saudi Arabia,2012,Equestrianism
Bronze,2,Italy,1920,Athletics
Bronze,3,USA,1964,Diving
Bronze,2,Hungary,1968,Wrestling
Gold,4,UK,1928,Rowing
Silver,4,Sweden,2014,Curling
Bronze,4,Canada,1932,Sailing
Gold,1,Australia,2002,Short Track Speed Skating
Gold,16,USA,1920,Athletics
Bronze,6,Norway,2006,Ski Jumping
Bronze,2,South Africa,2004,Rowing
Gold,9,Russia,1972,Wrestling
Silver,16,USA,2012,Swimming
Bronze,5,Germany,2016,Equestrianism
Gold,44,Norway,1920,Sailing
Silver,2,Sweden,2000,Swimming
Bronze,1,Norway,2014,Ski Jumping
Bronze,1,Germany,1964,Alpine Skiing
Bronze,8,Spain,2012,Synchronized Swimming
Silver,12,Netherlands,1992,Volleyball
Bronze,6,Hungary,1924,Fencing
Bronze,6,Italy,2012,Rhythmic Gymnastics
Bronze,2,Poland,1972,Boxing
Bronze,1,Germany,1988,Judo
Bronze,17,Czech Republic,1964,Ice Hockey
Gold,4,France,1948,Equestrianism
Silver,27,Australia,2000,Swimming
Bronze,3,Netherlands,1924,Sailing
Bronze,8,Finland,1952,Gymnastics
Bronze,2,Azerbaijan,2016,Taekwondo
Silver,8,Norway,1994,Cross Country Skiing
Gold,2,South Korea,1984,Judo
Gold,1,North Korea,2012,Judo
Gold,2,Romania,1984,Wrestling
Silver,1,UK,1920,Diving
Silver,1,Sweden,1912,Modern Pentathlon
Gold,17,Russia,1988,Athletics
Silver,1,Guatemala,2012,Athletics
Silver,2,Germany,1992,Equestrianism
Gold,1,France,1952,Swimming
Gold,11,Hungary,1936,Water Polo
Bronze,1,Switzerland,1998,Freestyle Skiing
Bronze,2,Germany,1964,Canoeing
Silver,1,France,1984,Shooting
Silver,2,Sweden,1928,Athletics
Gold,11,Russia,1972,Water Polo
Silver,1,Nigeria,2000,Athletics
Silver,8,Germany,2010,Cross Country Skiing
Gold,4,Finland,1924,Wrestling
Bronze,16,Germany,2004,Hockey
Silver,7,Kenya,1968,Athletics
Gold,6,Germany,1976,Fencing
Silver,1,Kyrgyzstan,2008,Wrestling
Gold,1,Australia,2006,Freestyle Skiing
Bronze,6,Hungary,1972,Gymnastics
Gold,1,Italy,1992,Cross Country Skiing
Gold,2,Switzerland,1980,Bobsleigh
Bronze,12,Germany,1976,Rowing
Bronze,6,Canada,2016,Cycling
Gold,1,Germany,2004,Judo
Gold,1,Italy,1988,Athletics
Silver,3,Netherlands,2016,Cycling
Silver,2,Romania,1972,Athletics
Gold,4,Italy,2000,Rowing
Bronze,4,Switzerland,1992,Bobsleigh
Bronze,10,Brazil,1948,Basketball
Silver,16,Hungary,1912,Gymnastics
Gold,14,Serbia,1972,Handball
Bronze,8,France,2006,Biathlon
Gold,4,Norway,1936,Speed Skating
Silver,5,Canada,2002,Curling
Silver,13,Germany,1972,Athletics
Gold,10,UK,2012,Rowing
Silver,1,Australia,2010,Freestyle Skiing
Gold,1,Thailand,2004,Boxing
Silver,3,Germany,1932,Boxing
Bronze,1,Cuba,1980,Shooting
Silver,1,Haiti,1928,Athletics
Bronze,5,Trinidad,2012,Athletics
Bronze,12,Brazil,1964,Basketball
Silver,2,Iran,2012,Weightlifting
Gold,21,Russia,1988,Gymnastics
Bronze,4,Hungary,1932,Swimming
Bronze,6,UK,1980,Rowing
Gold,3,Hungary,1952,Modern Pentathlon
Silver,16,Czech Republic,1972,Handball
Gold,12,Netherlands,1996,Volleyball
Gold,5,Russia,1964,Cross Country Skiing
Bronze,2,France,1960,Alpine Skiing
Bronze,2,Italy,1996,Athletics
Bronze,5,China,1996,Swimming
Silver,2,Switzerland,1932,Bobsleigh
Bronze,14,Italy,2008,Fencing
Silver,17,USA,1972,Ice Hockey
Gold,4,Canada,1956,Rowing
Bronze,12,Poland,1968,Volleyball
Silver,1,Syria,1984,Wrestling
Silver,2,Italy,1948,Boxing
Silver,3,USA,2006,Snowboarding
Gold,8,Norway,1924,Sailing
Silver,11,USA,1992,Sailing
Silver,1,Romania,2008,Fencing
Silver,5,Sweden,1912,Rowing
Bronze,1,Latvia,1936,Athletics
Silver,1,Italy,1960,Gymnastics
Gold,12,Russia,1992,Athletics
Bronze,9,USA,2008,Rowing
Bronze,1,Morocco,1988,Athletics
Bronze,1,Germany,1996,Cycling
Bronze,3,France,2008,Archery
Silver,2,USA,1968,Wrestling
Silver,16,Argentina,1928,Football
Silver,4,USA,2016,Diving
Bronze,14,Bulgaria,1956,Football
Bronze,9,USA,1976,Rowing
Silver,2,Spain,2012,Synchronized Swimming
Gold,5,Hungary,1988,Canoeing
Silver,7,Australia,1992,Cycling
Gold,4,Sweden,1932,Sailing
Gold,23,Russia,1980,Volleyball
Bronze,14,Spain,1960,Hockey
Gold,6,Russia,2014,Short Track Speed Skating
Bronze,2,Bulgaria,1972,Wrestling
Bronze,5,Germany,2002,Cross Country Skiing
Gold,10,Germany,1996,Equestrianism
Gold,5,Russia,2006,Cross Country Skiing
Bronze,1,Hungary,1924,Swimming
Gold,4,Germany,1998,Luge
Gold,16,Netherlands,1984,Hockey
Gold,6,Russia,2016,Rhythmic Gymnastics
Gold,12,Russia,1972,Volleyball
Silver,6,Germany,1936,Art Competitions
Bronze,1,USA,1928,Fencing
Silver,1,Mexico,1952,Diving
Bronze,12,Russia,2012,Basketball
Gold,7,Russia,1976,Cross Country Skiing
Bronze,14,Poland,1976,Handball
Bronze,1,Germany,2012,Equestrianism
Bronze,1,Norway,1968,Cross Country Skiing
Silver,9,Canada,1984,Athletics
Gold,3,Norway,1952,Sailing
Gold,12,UK,1924,Alpinism
Bronze,11,Germany,1980,Gymnastics
Bronze,5,USA,1996,Athletics
Silver,1,New Zealand,2016,Athletics
Silver,13,Italy,2016,Water Polo
